2019-02-21 13:02:10, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:11, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:12, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:13, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:14, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:15, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:16, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:17, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:18, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:19, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:20, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:21, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:22, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:23, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:24, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:25, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:26, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:27, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:28, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:29, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:30, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:31, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:32, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:33, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:34, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:35, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:36, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:37, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:38, 0 blocks, 4014.813940, -11138.858280, 4602, Unknown
2019-02-21 13:02:39, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:40, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:41, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:42, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:43, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:44, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:45, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:46, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:47, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:48, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:49, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:50, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:51, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:52, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:53, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:54, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:55, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:56, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:57, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:58, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:02:59, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:00, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:01, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:02, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:03, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:04, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:05, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:06, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:07, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:08, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:09, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:10, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:11, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
2019-02-21 13:03:12, 0 blocks, 4014.814000, -11138.858160, 4601, Unknown
